"Site","Time","Landscape","Species","Abundance","SiteTime"
"Forest_Site1","January","Forest","Bird 10",135,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 11",118,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 12",71,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 13",84,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 14",83,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 15",138,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 17",62,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 18",159,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 19",99,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 20",170,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 21",101,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 22",191,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 24",161,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 25",146,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 26",140,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 27",87,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 28",139,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 29",65,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 3",118,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 30",167,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 31",79,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 32",74,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 33",176,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 34",189,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 35",165,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 37",112,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 38",88,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 4",83,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 40",200,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 41",116,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 42",121,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 43",125,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 44",113,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 45",53,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 46",171,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 47",55,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 48",90,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 49",128,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 5",70,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 50",190,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 6",134,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 7",135,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 8",143,"Forest_Site1_January"
"Forest_Site1","January","Forest","Bird 9",109,"Forest_Site1_January"
"Forest_Site1","May","Forest","Bird 1",137,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 10",102,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 11",57,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 12",54,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 13",157,"Forest_Site1_May"
"Forest_Site1","May","Forest","Bird 14",154,"Forest_Site1_May"
